iter	RMSE
0	168.3436389
1	157.9420264
2	148.3160748
3	139.5844109
4	131.2823352
5	123.5596992
6	116.657315
7	110.0676014
8	103.9340996
9	98.22289875
10	93.03110067
11	88.14586321
12	83.86359495
13	79.74638256
14	76.07507328
15	72.5943504
16	69.52667542
17	66.58564992
18	63.91868243
19	61.49866347
20	59.28337207
21	57.32522033
22	55.50617761
23	53.90798434
24	52.41114248
25	51.10376854
26	49.97617361
27	48.88823252
28	47.9792647
29	47.10078705
30	46.32720507
31	45.61725935
32	45.03404078
33	44.53377485
34	44.05176275
35	43.61841495
36	43.30204842
37	42.94426094
38	42.62083005
39	42.35361277
40	42.12274897
41	41.92018304
42	41.7405389
43	41.56665219
44	41.40087646
45	41.26627225
46	41.16479227
47	41.05161774
48	40.94650381
49	40.8512951
50	40.76398155
51	40.69219199
52	40.6275893
53	40.57723861
54	40.53001784
55	40.48194198
56	40.43663997
57	40.38936659
58	40.35027669
59	40.31597674
60	40.28251807
61	40.26105059
62	40.23432576
63	40.20604547
64	40.18486958
65	40.16629432
66	40.13927273
67	40.1240407
68	40.09551826
69	40.07423316
70	40.05893892
71	40.04479584
72	40.0347465
73	40.01698467
74	40.00252298
75	39.98753904
76	39.98011061
77	39.96896014
78	39.95672044
79	39.94300697
80	39.93212494
81	39.91461017
82	39.90561352
83	39.89842536
84	39.8876062
85	39.87138829
86	39.86151837
87	39.85707549
88	39.85037676
89	39.84456245
90	39.83043652
91	39.82321989
92	39.81640271
93	39.81035828
94	39.80182914
95	39.79542252
96	39.78334409
97	39.77013133
98	39.76548631
99	39.75690801
100	39.74550633
101	39.73843912
102	39.72734512
103	39.70954474
104	39.70083384
105	39.69777178
106	39.6842138
107	39.67577003
108	39.665709
109	39.65574163
110	39.64677989
111	39.63397829
112	39.6278277
113	39.61399571
114	39.60554608
115	39.59603507
116	39.5794726
117	39.5692036
118	39.56390264
119	39.55523763
120	39.54704798
121	39.54081001
122	39.533677
123	39.52623821
124	39.51997852
125	39.50480862
126	39.50091949
127	39.48592984
128	39.4761068
129	39.4667793
130	39.45222515
131	39.44686502
132	39.43382777
133	39.42864637
