iter	RMSE
134	39.42015627
135	39.41595688
136	39.40558345
137	39.39237869
138	39.38827222
139	39.38240282
140	39.37196341
141	39.35764846
142	39.34620655
143	39.33513384
144	39.32285463
145	39.31002786
146	39.29327712
147	39.27592889
148	39.26657521
149	39.2581679
150	39.24608205
151	39.23643531
152	39.22733745
153	39.21479036
154	39.20900297
155	39.20245439
156	39.19554449
157	39.18600075
158	39.17353506
159	39.1678441
160	39.16080697
161	39.14944001
162	39.13068742
163	39.11305653
164	39.10332796
165	39.08719305
166	39.06756326
167	39.05981262
168	39.05151237
169	39.04007812
170	39.033066
171	39.02501774
172	39.01604324
173	39.00718093
174	38.99288039
175	38.97610592
176	38.97019314
177	38.9569451
178	38.94781542
179	38.93806822
180	38.92498982
181	38.91920992
182	38.9092652
183	38.90363855
184	38.89564414
185	38.88910703
186	38.88234182
187	38.87483986
188	38.85995587
189	38.84830322
190	38.84016822
191	38.83134288
192	38.81556544
193	38.80868497
194	38.7977632
195	38.78701195
196	38.77505961
197	38.76468565
198	38.75505376
199	38.74824249
200	38.74317627
201	38.7321389
202	38.72078996
203	38.71051226
204	38.70064549
205	38.69449576
206	38.68695414
207	38.67805448
208	38.66933612
209	38.6595728
210	38.65095405
211	38.63832215
212	38.63142299
213	38.62456613
214	38.61729015
215	38.60861855
216	38.60252694
217	38.59462364
218	38.58916861
219	38.57604222
220	38.56680915
221	38.55493715
222	38.54906122
223	38.54268154
224	38.53222812
225	38.52528517
226	38.51241626
227	38.49953482
228	38.48895226
229	38.47817483
230	38.46754949
231	38.46160904
232	38.45362328
233	38.43879848
234	38.42566083
235	38.41377997
236	38.40471165
237	38.39058195
238	38.37752406
239	38.37155244
240	38.36405519
241	38.35616881
242	38.34263414
243	38.33656407
244	38.32450708
245	38.31667092
246	38.31275654
247	38.30125098
248	38.29340498
249	38.28032355
250	38.26947949
251	38.25835182
252	38.25185686
253	38.24110573
254	38.23366829
255	38.2248012
256	38.21873543
257	38.21109883
258	38.19591253
259	38.18183696
260	38.17139408
261	38.16156217
262	38.15309502
263	38.14174619
264	38.13528758
265	38.12637772
266	38.11616307
267	38.10423494
268	38.09596764
269	38.08358893
270	38.07872223
271	38.07050352
272	38.05624469
273	38.04327402
274	38.0388207
275	38.03114243
276	38.02299624
277	38.00647546
278	37.99870348
279	37.98621627
280	37.97603181
281	37.96568342
282	37.95331741
283	37.94799673
284	37.94241089
285	37.93686219
286	37.92718395
287	37.91750577
288	37.91154551
289	37.90141375
290	37.89054294
291	37.88122285
292	37.86821414
293	37.85454479
294	37.8475168
295	37.83860193
296	37.82622466
297	37.82003576
298	37.80985974
299	37.80309954
300	37.7946596
301	37.78818455
302	37.77499791
303	37.7685698
304	37.75805385
305	37.75175849
306	37.73726378
307	37.72558101
308	37.71188271
309	37.70113976
310	37.68693653
311	37.6770278
312	37.66852445
313	37.65645498
314	37.64291901
315	37.62761844
316	37.6190225
317	37.61013004
318	37.60281653
319	37.59564482
320	37.58388921
321	37.5746433
322	37.56460931
323	37.55521261
324	37.54558783
325	37.53419205
326	37.52175319
327	37.51348059
328	37.50924306
329	37.50216234
330	37.49211781
331	37.48352313
332	37.47434621
333	37.46451556
334	37.45470981
335	37.44547696
336	37.4358595
337	37.42777329
338	37.42400537
339	37.41551302
340	37.40390746
341	37.39592749
342	37.38463057
343	37.37624084
344	37.37016946
345	37.36567663
346	37.35928888
347	37.35555605
348	37.34626524
349	37.33372624
350	37.32455203
351	37.31693925
352	37.3091651
353	37.30086891
354	37.29505101
355	37.2867074
356	37.28149362
357	37.2717841
358	37.26470899
359	37.25563243
360	37.2484862
361	37.23535949
362	37.2265494
363	37.21863016
364	37.21225755
365	37.20582911
366	37.1967987
367	37.19073542
368	37.18096072
369	37.17212216
370	37.1624972
371	37.15660293
372	37.14918107
373	37.14135663
374	37.13145287
375	37.1262638
376	37.11956072
377	37.11475048
378	37.10688207
379	37.09841447
380	37.09011117
381	37.08300436
382	37.07342409
383	37.06393328
384	37.05330518
385	37.04571394
386	37.03722354
387	37.02762293
388	37.02023064
389	37.01612707
390	37.00804443
391	36.99943253
392	36.99325808
393	36.98439816
394	36.97257751
395	36.96236084
396	36.95374766
397	36.94438621
398	36.93453032
399	36.92997007
400	36.92124032
401	36.91571472
402	36.90644202
403	36.89773879
404	36.88798224
405	36.88296367
406	36.87021399
407	36.86161853
408	36.85661478
409	36.85054611
410	36.84143825
411	36.83153073
412	36.82514765
413	36.81866577
414	36.81000543
415	36.80491736
416	36.79931323
417	36.7900207
418	36.78276262
419	36.7766845
420	36.76471923
421	36.75405193
422	36.74547537
423	36.73684988
424	36.73060274
425	36.72247877
426	36.71601278
427	36.71154011
428	36.70484331
429	36.69939243
430	36.69125091
431	36.68439605
432	36.67606912
433	36.6684448
434	36.66209985
435	36.65482187
436	36.64961057
437	36.6403717
438	36.63288241
439	36.62819568
440	36.62150837
441	36.61488478
442	36.60577152
443	36.59630917
444	36.58461582
445	36.57985307
446	36.5729864
447	36.56472029
448	36.55595463
449	36.55118654
450	36.54534469
451	36.53934538
452	36.5311087
453	36.52188806
454	36.51612632
455	36.50886209
456	36.49956546
457	36.49251587
458	36.48215638
459	36.47639165
460	36.46904505
461	36.45819895
462	36.45104085
463	36.44246073
464	36.43794231
465	36.42966624
466	36.41987554
467	36.41025663
468	36.40128197
469	36.39331855
470	36.38359113
471	36.37723787
472	36.36964818
473	36.36293301
474	36.3547911
475	36.34873462
476	36.34063374
477	36.33255395
478	36.32663543
479	36.3233052
480	36.3164012
481	36.30737014
482	36.29925517
483	36.29183229
484	36.28524344
485	36.27827662
486	36.2691886
487	36.26277483
488	36.25838577
489	36.24935385
490	36.24310167
491	36.23204613
492	36.22214956
493	36.21374553
494	36.20742055
495	36.20239559
496	36.19612591
497	36.18788053
498	36.17901114
499	36.17176756
500	36.16350417
501	36.15588823
502	36.14727453
503	36.13808383
504	36.13159009
505	36.12331138
506	36.1183069
507	36.1163033
508	36.10910367
509	36.10186968
510	36.09425494
511	36.08638286
512	36.07707443
513	36.06726468
514	36.05453439
515	36.04821653
516	36.03496212
517	36.02937912
518	36.01878581
519	36.01179764
520	36.00382783
521	35.99327695
522	35.98426346
523	35.97702814
524	35.96518376
525	35.95825265
526	35.94764705
527	35.9446812
528	35.93664147
529	35.92792975
530	35.92287035
531	35.91536391
532	35.9059341
533	35.90082476
534	35.89422944
535	35.88695072
536	35.87919971
537	35.86830306
538	35.85971559
539	35.85567912
540	35.84956032
541	35.84069527
542	35.83524422
543	35.82963506
544	35.82259093
545	35.81567141
546	35.81128067
547	35.8052016
548	35.79608628
549	35.78937884
550	35.7817572
551	35.77480136
552	35.76271575
553	35.75530251
554	35.74508799
555	35.73456438
556	35.72760468
557	35.71895903
558	35.71218121
559	35.70551568
560	35.69805657
561	35.69042705
562	35.68542844
563	35.67765733
564	35.66954014
565	35.66418785
566	35.65477264
567	35.6473761
568	35.64196449
569	35.63669883
570	35.63118599
571	35.62692596
572	35.61851449
573	35.61222912
574	35.6076184
575	35.59766552
576	35.59248158
577	35.58638372
578	35.57990726
579	35.57449196
580	35.56612691
581	35.55530829
582	35.54853591
583	35.54150508
584	35.53535126
585	35.52816784
586	35.5197666
587	35.51067816
588	35.50134479
589	35.4934388
590	35.48405662
591	35.47604849
592	35.47207518
593	35.46285312
594	35.45714968
595	35.44576967
596	35.43345801
597	35.42228571
598	35.41636388
599	35.41026762
600	35.4037221
601	35.39798155
602	35.39081899
603	35.37914744
604	35.3721978
605	35.36479087
606	35.3597774
607	35.35414186
608	35.34571453
609	35.33985123
610	35.33359367
611	35.32885866
612	35.32087116
613	35.31418588
614	35.30391347
615	35.29720391
616	35.29059924
617	35.28386963
618	35.27470693
619	35.26843825
620	35.26180347
621	35.25510264
622	35.24820487
623	35.24450791
624	35.23676995
625	35.23123553
626	35.22247702
627	35.21391172
628	35.20850906
629	35.19870134
630	35.19418102
631	35.19063106
632	35.18237355
633	35.17371884
634	35.16824166
635	35.16115425
636	35.15345351
637	35.14643318
638	35.14149397
639	35.13192407
640	35.12341588
641	35.1177646
642	35.1121928
643	35.10377524
644	35.09772648
645	35.0932865
646	35.09014915
647	35.0856119
648	35.08276923
649	35.07777717
650	35.07099972
651	35.06395629
652	35.06040737
653	35.05443983
654	35.04631086
655	35.04002228
656	35.03278535
657	35.02745203
658	35.02086105
659	35.01585622
660	35.00889638
661	34.99935154
662	34.99108444
663	34.98285985
664	34.97552809
665	34.96594485
666	34.95663199
667	34.94979477
668	34.94675463
669	34.94048896
670	34.93693945
671	34.93228397
672	34.92736025
673	34.91700613
674	34.90984962
675	34.90232343
676	34.89824968
677	34.89061158
678	34.8850583
679	34.87872292
680	34.87377845
681	34.8682537
682	34.86073094
683	34.85412341
684	34.84604198
685	34.84115828
686	34.83279105
687	34.82688622
688	34.81885404
689	34.81119161
690	34.80581381
691	34.80123804
692	34.79370298
693	34.7877803
694	34.78197228
695	34.77567425
696	34.77100883
697	34.76317598
698	34.76012652
699	34.75512811
700	34.74835283
701	34.73930337
702	34.73264745
703	34.72634384
704	34.72187334
705	34.7143211
706	34.70748817
707	34.70200228
708	34.69529657
709	34.69168654
710	34.68720174
711	34.67906898
712	34.67276104
713	34.66598729
714	34.66064368
715	34.65602696
716	34.64918955
717	34.64310762
718	34.6349089
719	34.62776152
720	34.61966032
721	34.61189429
722	34.6042733
723	34.59568846
724	34.59010518
725	34.58661284
726	34.57880883
727	34.5722246
728	34.56313779
729	34.55431148
730	34.54776897
731	34.54213469
732	34.53221609
733	34.52411233
734	34.51601168
735	34.50939872
736	34.50170536
737	34.49611616
738	34.48672517
739	34.48491346
740	34.47878891
741	34.47504293
742	34.46935693
743	34.46554611
744	34.45967472
745	34.452663
746	34.44683563
747	34.43396236
748	34.42694931
749	34.41826448
750	34.41114562
751	34.40533515
752	34.39990539
753	34.39171648
754	34.38335439
755	34.37591322
756	34.36836368
757	34.36060054
758	34.35317914
759	34.34573587
760	34.33967446
761	34.33213692
762	34.32824144
763	34.3227353
764	34.31864146
765	34.31351606
766	34.31211632
767	34.30606022
768	34.29960494
769	34.29341117
770	34.28784578
771	34.28169829
772	34.27530831
773	34.26714023
774	34.26421995
775	34.25749623
776	34.25290517
777	34.24900719
778	34.24202429
779	34.23630771
780	34.22968298
781	34.22327814
782	34.22087746
783	34.21464784
784	34.20378736
785	34.19694314
786	34.18764937
787	34.18296472
788	34.17546614
789	34.1690936
790	34.16211127
791	34.15698791
792	34.15313591
793	34.14778623
794	34.14190544
795	34.1368192
796	34.12927626
797	34.1233371
798	34.11806257
799	34.10920517
800	34.10623234
801	34.10347921
802	34.09771654
803	34.09174505
804	34.08508901
805	34.07877599
806	34.07087601
807	34.0640585
808	34.05712999
809	34.0522966
810	34.04616978
811	34.04298841
812	34.03540873
813	34.03070465
814	34.02331295
815	34.01525094
816	34.01007787
817	34.00094128
818	33.99528675
819	33.98995771
820	33.9853465
821	33.97470185
822	33.9677017
823	33.96269484
824	33.95869633
825	33.95136454
826	33.94556866
827	33.94313888
828	33.93907915
829	33.93274997
830	33.92764721
831	33.92448553
832	33.9157312
833	33.91173237
834	33.90790955
835	33.90175439
836	33.89720862
837	33.89308219
838	33.88885686
839	33.88278414
840	33.87468452
841	33.86927829
842	33.85927712
843	33.85414671
844	33.8492671
845	33.84365006
846	33.83461704
847	33.82816655
848	33.82473849
849	33.81363941
850	33.80757825
851	33.79918331
852	33.79327845
853	33.78669394
854	33.7824084
855	33.77709075
856	33.77172387
857	33.76666508
858	33.76311127
859	33.75695631
860	33.75139614
861	33.74605119
862	33.7395761
863	33.73525783
864	33.72926122
865	33.72250851
866	33.71957643
867	33.71274753
868	33.70646548
869	33.70073861
870	33.69603733
871	33.68936815
872	33.68516493
873	33.68027377
874	33.67307928
875	33.66830469
876	33.66088622
877	33.65561374
878	33.64860177
879	33.6446765
880	33.63911573
881	33.63175155
882	33.62729425
883	33.62460492
884	33.61695915
885	33.61256111
886	33.60841862
887	33.60138558
888	33.59586418
889	33.59196955
890	33.58835151
891	33.58141533
892	33.57532624
893	33.56680521
894	33.56376153
895	33.55817617
896	33.55230939
897	33.54737444
898	33.54048894
899	33.53266349
900	33.52731787
901	33.52351841
902	33.51669199
903	33.50748987
904	33.50168091
905	33.4958016
906	33.4918855
907	33.48651584
908	33.48064475
909	33.4754424
910	33.46924408
911	33.46548603
912	33.46029848
913	33.45757914
914	33.45294518
915	33.4464248
916	33.43970232
917	33.4331301
918	33.42477163
919	33.42136366
920	33.4164043
921	33.40913408
922	33.40355507
923	33.39722175
924	33.38895599
925	33.38394294
926	33.38075688
927	33.37470313
928	33.36917875
929	33.36081253
930	33.35602801
931	33.34689649
932	33.34326183
933	33.33567865
934	33.32718722
935	33.32391214
936	33.31875011
937	33.31515546
938	33.31037154
939	33.30685427
940	33.30166505
941	33.29466148
942	33.28666714
943	33.2798305
944	33.27445955
945	33.26715305
946	33.26214527
947	33.25677121
948	33.25266659
949	33.24830971
950	33.24327804
951	33.23484461
952	33.22830983
953	33.22426841
954	33.21627966
955	33.21180595
956	33.20762395
957	33.20202472
958	33.19512917
959	33.18921066
960	33.18496786
961	33.18002805
962	33.17471433
963	33.17094257
964	33.16096839
965	33.1565352
966	33.1500871
967	33.14366581
968	33.13908082
969	33.13291729
970	33.12255268
971	33.11680575
972	33.11033174
973	33.10527822
974	33.0997312
975	33.09195421
976	33.08349522
977	33.07447334
978	33.06858057
979	33.06206199
980	33.05628671
981	33.05074923
982	33.04620124
983	33.04301492
984	33.03655073
985	33.03387168
986	33.02882914
987	33.02148706
988	33.01727989
989	33.01272104
990	33.00914082
991	33.00116432
992	32.99605948
993	32.99101533
994	32.98530282
995	32.98274611
996	32.97576391
997	32.9683909
998	32.96348649
999	32.95801021
